member_casual,day_used,total_ride,avg_ride_length
casual,Friday,240193,15.0372502529216
casual,Monday,179330,15.123103403409
casual,Saturday,341403,16.5293938541841
casual,Sunday,262938,16.6753483077126
casual,Thursday,194238,14.0376039532258
casual,Tuesday,182176,14.3864078327185
casual,Wednesday,188679,14.2033185993142
member,Friday,358260,11.4262102011574
member,Monday,345628,11.1868497826179
member,Saturday,329896,12.64921485357
member,Sunday,275207,12.6462435548514
member,Thursday,375957,11.1541662122707
member,Tuesday,387034,11.2417944332195
member,Wednesday,394942,11.2744705973704
