member_casual,hour_used,total_ride,avg_ride_length
casual,00,33293,13.9753802100542
casual,01,23385,14.2586002423206
casual,02,14735,14.5571405949553
casual,03,7730,14.0243380767572
casual,04,5023,12.9374344681133
casual,05,7610,11.1584669294788
casual,06,19341,10.555739103459
casual,07,33396,11.4157364155388
casual,08,45294,12.1959074785476
casual,09,47037,14.0771080922111
casual,10,61170,15.6055571903439
casual,11,79661,16.1808222760615
casual,12,97319,16.4223899409845
casual,13,101105,16.8034953760942
casual,14,106424,16.8640561965973
casual,15,116427,16.4609983079526
casual,16,133915,15.9292449190407
casual,17,156918,15.6722357112207
casual,18,140777,15.3222390731441
casual,19,106934,15.1873343994115
casual,20,77938,15.0564136450341
casual,21,66544,14.6584695840346
casual,22,60818,14.3686159251099
casual,23,46163,14.2825957296247
member,00,24306,10.9083134479827
member,01,15669,11.0909332652584
member,02,8607,11.0005847953216
member,03,4961,10.8652119868306
member,04,5726,10.657413552218
member,05,23865,9.87939730428102
member,06,71122,10.4366347028111
member,07,130597,10.9424669019962
member,08,150578,10.7677334449034
member,09,105065,10.8751761607894
member,10,99753,11.2778233904411
member,11,118782,11.4519952518058
member,12,138699,11.3997642376657
member,13,136982,11.6109030140213
member,14,136104,11.9212674376457
member,15,162668,11.8622682396046
member,16,215014,12.0600849247026
member,17,266475,12.2875138380711
member,18,217803,12.0995535721118
member,19,155737,11.9534360278332
member,20,104210,11.7664653104309
member,21,77485,11.5483833430126
member,22,58382,11.4177611820995
member,23,38334,11.2153036468931
