member_casual,month_used,total_ride,avg_ride_length
casual,April,95453,16.8647739376098
casual,August,237096,14.4505309382416
casual,December,30162,10.5218868112194
casual,February,7191,16.1637648912993
casual,January,28420,10.1902445460943
casual,July,308986,16.4986110481813
casual,June,249044,16.8314953716345
casual,March,59854,17.1879729564162
casual,May,170844,17.3587750618498
casual,November,68509,11.8405066001061
casual,October,136369,13.1341625784941
casual,September,197029,13.8737547941335
member,April,172719,12.5955959294191
member,August,327653,11.8067254076721
member,December,102802,9.32982513310377
member,February,33330,12.3359305930593
member,January,117521,9.09534168361399
member,July,315129,12.4430859531599
member,June,296877,12.7261160345867
member,March,127017,12.345573295963
member,May,227631,12.757776401281
member,November,179946,9.84928821238964
member,October,258398,10.4371448308423
member,September,307901,11.3238240538355
